runs,cost
394,1.4133967
395,1.3863784
396,1.4135743
397,1.414136
398,1.4142059
399,1.4120295
400,1.4141444
401,1.3762225
402,1.4126296
403,1.4142104
404,1.4141984
405,4.2246026e-11
406,1.4138671
407,1.4141716
408,1.4141757
409,1.4137781
410,1.4142095
411,1.4141911
412,1.4138551
413,4.8675763e-10
414,1.4118843
415,1.4074719
416,1.4139652
417,1.4138823
418,1.4135717
419,1.4023911
420,1.3740513
421,1.4124497
422,1.4039623
423,1.4141979
424,5.1341817e-12
425,1.414025
426,1.0338493e-15
427,1.3918821
428,1.4142115
429,1.4015986
430,1.4131272
431,1.4136726
432,1.4134657
433,1.4140681
434,1.413678
435,1.4129161
436,1.4040062
437,1.4142015
438,1.4139732
439,1.4038404
440,1.4141252
441,1.4141866
442,1.4142103
443,7.9993596e-13
444,1.4133195
445,1.4141841
446,1.4142135
447,1.4141561
448,1.41412
449,1.3901896
450,0.0000022659087
451,1.410323
452,1.4142134
453,1.4142134
454,1.414164
455,1.4095215
456,1.414102
457,1.4123919
458,1.4141352
459,1.4139476
460,1.4139822
461,1.4124846
462,9.631818e-18
463,1.4140265
464,1.4090035
465,1.413156
466,1.4139872
467,1.4140179
468,1.4142026
469,1.4140445
470,1.4120815
471,1.4120469
472,1.4140748
473,1.4124072
474,1.4135481
475,1.4129857
476,1.4140567
477,1.4113139
478,1.4141718
479,1.4127182
480,1.4141324
481,1.4137601
482,1.4078627
483,1.4142067
484,1.4104518
485,1.4142064
486,1.4141961
487,1.4142108
488,1.4142109
489,1.4141773
490,1.413959
491,6.445591e-7
492,1.4139465
493,1.4141809
494,1.4129859
495,1.4113566
496,1.4128838
497,1.4086853
498,1.4140022
499,1.4138197
500,1.414211
501,1.4128671
502,1.4129256
503,1.414062
504,1.4141746
505,4.973161e-8
506,3.2426695e-10
507,1.4141657
508,1.4142064
509,1.414209
510,1.4139171
511,1.4142026
512,1.3582798
513,1.4139643
514,1.4135859
515,1.4123627
516,1.4135244
517,1.4142135
518,1.4111655
519,1.4141757
520,9.096831e-13
521,1.4140251
522,1.4134533
523,4.4760004e-8
524,1.4140437
525,9.102457e-11
526,1.410833
527,3.8716187e-12
528,1.4138997
529,1.4142121
530,1.4140992
531,1.4141754
532,1.4068215
533,1.4142109
534,1.4134008
535,1.413221
536,1.4108168
537,1.4131823
538,1.4142133
539,1.4142085
540,1.9969477e-10
541,1.4128036
542,1.4138805
543,1.404608
544,1.4138236
545,1.4118289
546,1.4112521
547,1.4119524
548,1.3228862
549,1.4138364
550,1.4141794
551,1.3893039
552,1.4141867
553,1.4139434
554,1.4136496
555,1.4064193
